Dataset,d_model,random seed
AbnormalHeartbeat,128,21
ACSF1,64,0
Adiac,64,21
AllGestureWiimoteX,128,0
AllGestureWiimoteY,128,21
AllGestureWiimoteZ,64,0
ArrowHead,256,21
ArticularyWordRecognition,128,21
AsphaltObstacles,64,0
AsphaltObstaclesCoordinates,64,0
AsphaltPavementType,64,0
AsphaltPavementTypeCoordinates,64,21
AsphaltRegularity,64,0
AsphaltRegularityCoordinates,64,0
AtrialFibrillation,256,21
BasicMotions,64,0
Beef,256,21
BeetleFly,128,0
BinaryHeartbeat,256,21
BirdChicken,128,0
Blink,128,21
BME,64,21
Car,256,21
CatsDogs,64,21
CBF,64,0
CharacterTrajectories,256,0
Chinatown,128,21
ChlorineConcentration,128,21
CinCECGTorso,64,21
Coffee,128,21
Colposcopy,256,21
Computers,128,21
Cricket,128,0
CricketX,64,0
CricketY,64,21
CricketZ,64,21
Crop,64,21
DiatomSizeReduction,128,21
DistalPhalanxOutlineAgeGroup,128,21
DistalPhalanxOutlineCorrect,64,21
DistalPhalanxTW,256,21
DodgerLoopDay,256,0
DodgerLoopGame,128,0
DodgerLoopWeekend,64,0
DuckDuckGeese,128,0
DucksAndGeese,128,0
Earthquakes,128,21
ECG200,128,0
ECG5000,128,0
ECGFiveDays,64,21
ElectricDeviceDetection,64,21
ElectricDevices,128,21
EMOPain,64,21
EOGHorizontalSignal,64,0
EOGVerticalSignal,64,21
Epilepsy,128,21
Epilepsy2,64,21
ERing,256,21
EthanolConcentration,64,21
EthanolLevel,128,0
EyesOpenShut,128,0
FaceAll,128,21
FaceDetection,64,21
FaceFour,256,0
FacesUCR,256,21
FaultDetectionA,64,21
FaultDetectionB,64,0
FiftyWords,256,0
FingerMovements,64,21
Fish,256,21
FordA,64,0
FordB,64,21
FreezerRegularTrain,256,0
FreezerSmallTrain,64,21
Fungi,64,21
GestureMidAirD1,64,21
GestureMidAirD2,64,21
GestureMidAirD3,256,0
GesturePebbleZ1,64,0
GesturePebbleZ2,128,0
GunPoint,64,0
GunPointAgeSpan,128,21
GunPointMaleVersusFemale,64,0
GunPointOldVersusYoung,64,0
Ham,64,0
HandMovementDirection,128,21
HandOutlines,64,0
Handwriting,64,21
Haptics,64,21
Heartbeat,64,21
Herring,64/256,21
HouseTwenty,256,21
InlineSkate,64,21
InsectEPGRegularTrain,64,0
InsectEPGSmallTrain,128,0
ItalyPowerDemand,64,0
JapaneseVowels,64,0
LargeKitchenAppliances,64,0
Libras,256,0
Lightning2,128,0
Lightning7,128,21
LSST,64,0
Mallat,64,21
Meat,64,21
MedicalImages,64,0
MelbournePedestrian,128,21
MiddlePhalanxOutlineAgeGroup,64,21
MiddlePhalanxOutlineCorrect,64,0
MiddlePhalanxTW,64,0
MindReading,128,0
MixedShapesRegularTrain,64,21
MixedShapesSmallTrain,128/256,0
MoteStrain,128,0
MotionSenseHAR,128,0
NATOPS,128,0
NerveDamage,128,0
NonInvasiveFetalECGThorax1,64,21
NonInvasiveFetalECGThorax2,64,21
OliveOil,128,21
OSULeaf,64,0
PEMS-SF,64,21
PenDigits,128,0
PhalangesOutlinesCorrect,64,0
Phoneme,64,0
PhonemeSpectra,64,0
PickupGestureWiimoteZ,64,0
PigAirwayPressure,128,21
PigArtPressure,64,0
PigCVP,64,21
PLAID,64,0
Plane,128,0
PowerCons,64,21
ProximalPhalanxOutlineAgeGroup,64,21
ProximalPhalanxOutlineCorrect,64,0
ProximalPhalanxTW,128,21
RacketSports,128,0
RefrigerationDevices,64,0
Rock,128,21
ScreenType,64,21
SelfRegulationSCP1,64,21
SelfRegulationSCP2,64,21
SemgHandGenderCh2,64,21
SemgHandMovementCh2,64,21
SemgHandSubjectCh2,128,0
ShakeGestureWiimoteZ,128,21
ShapeletSim,64,0
ShapesAll,128,21
SharePriceIncrease,64,0
SmallKitchenAppliances,64,0
SmoothSubspace,64,0
SonyAIBORobotSurface1,256,21
SonyAIBORobotSurface2,256,0
SpokenArabicDigits,64,0
StandWalkJump,128,21
StarLightCurves,64,0
Strawberry,64,21
SwedishLeaf,256,21
Symbols,256,0
SyntheticControl,256,21
ToeSegmentation1,256,0
ToeSegmentation2,128,0
Trace,64,21
TwoLeadECG,128,0
TwoPatterns,256,0
UMD,256,0
UWaveGestureLibrary,64,21
UWaveGestureLibraryAll,128,21
UWaveGestureLibraryX,128,21
UWaveGestureLibraryY,256,21
UWaveGestureLibraryZ,256,0
Wafer,128,21
Wine,256,0
WordSynonyms,64,0
Worms,64,0
WormsTwoClass,64,21
Yoga,128,0