dataset,ProtoPGTN,ProtoPLSTM
BeetleFly,0.532834818,0.565957351
BME,0.538472886,0.601516943
Car,0.696620345,0.705154366
CBF,0.546918724,0.6645123
Coffee,0.525340517,0.515147672
Computers,1.265517807,0.934759507
DistalPhalanxTW,0.823455946,0.752493582
ECG200,0.517,1.016
ECG5000,0.797368989,2.16403176
ElectricDeviceDetection,1.051374934,1.303157163
FaceAll,1.272161889,1.482442584
FaceFour,0.542968657,0.715972819
Haptics,1.931680365,1.535443282
FreezerSmallTrain,0.546149035,0.904283137
GesturePebbleZ2,0.874713931,1.063957882
GunPointMaleVersusFemale,0.611699376,0.77089674
Ham,0.637532611,0.814668322
Lightning2,0.623718355,0.909529519
MixedShapesSmallTrain,1.543896935,1.471630621
Plane,0.620185511,0.827447495
PowerCons,0.647391844,0.843122468
ProximalPhalanxOutlineAgeGroup,0.740514693,0.828673463
ShapeletSim,0.519977677,0.751234355
SonyAIBORobotSurface1,0.510849264,0.745317922
SonyAIBORobotSurface2,0.518192563,0.768944831
UWaveGestureLibraryX,2.377911141,3.023957319
WormsTwoClass,1.276183403,1.068180537
LargeKitchenAppliances,1.802069578,1.581852288
Earthquakes,1.101983335,1.009740252